bus_id ,stage_index ,value
     1 ,          1 ,50650.8
     1 ,          2 ,52406.4
     1 ,          3 ,51571.2
     1 ,          4 ,49476.0
     1 ,          5 ,46814.4
     1 ,          6 ,45690.0
     1 ,          7 ,45141.6
     1 ,          8 ,46876.8
     1 ,          9 ,47902.8
     1 ,         10 ,48817.2
     1 ,         11 ,48392.4
     1 ,         12 ,47943.6
     1 ,         13 ,50650.8
     1 ,         14 ,52406.4
     1 ,         15 ,51571.2
     1 ,         16 ,49476.0
     1 ,         17 ,46814.4
     1 ,         18 ,45690.0
     1 ,         19 ,45141.6
     1 ,         20 ,46876.8
     1 ,         21 ,47902.8
     1 ,         22 ,48817.2
     1 ,         23 ,48392.4
     1 ,         24 ,47943.6
     1 ,         25 ,50650.8
     1 ,         26 ,52406.4
     1 ,         27 ,51571.2
     1 ,         28 ,49476.0
     1 ,         29 ,46814.4
     1 ,         30 ,45690.0
     1 ,         31 ,45141.6
     1 ,         32 ,46876.8
     1 ,         33 ,47902.8
     1 ,         34 ,48817.2
     1 ,         35 ,48392.4
     1 ,         36 ,47943.6
     1 ,         37 ,50650.8
     1 ,         38 ,52406.4
     1 ,         39 ,51571.2
     1 ,         40 ,49476.0
     1 ,         41 ,46814.4
     1 ,         42 ,45690.0
     1 ,         43 ,45141.6
     1 ,         44 ,46876.8
     1 ,         45 ,47902.8
     1 ,         46 ,48817.2
     1 ,         47 ,48392.4
     1 ,         48 ,47943.6
     1 ,         49 ,50650.8
     1 ,         50 ,52406.4
     1 ,         51 ,51571.2
     1 ,         52 ,49476.0
     1 ,         53 ,46814.4
     1 ,         54 ,45690.0
     1 ,         55 ,45141.6
     1 ,         56 ,46876.8
     1 ,         57 ,47902.8
     1 ,         58 ,48817.2
     1 ,         59 ,48392.4
     1 ,         60 ,47943.6
     1 ,         61 ,50650.8
     1 ,         62 ,52406.4
     1 ,         63 ,51571.2
     1 ,         64 ,49476.0
     1 ,         65 ,46814.4
     1 ,         66 ,45690.0
     1 ,         67 ,45141.6
     1 ,         68 ,46876.8
     1 ,         69 ,47902.8
     1 ,         70 ,48817.2
     1 ,         71 ,48392.4
     1 ,         72 ,47943.6
     1 ,         73 ,50650.8
     1 ,         74 ,52406.4
     1 ,         75 ,51571.2
     1 ,         76 ,49476.0
     1 ,         77 ,46814.4
     1 ,         78 ,45690.0
     1 ,         79 ,45141.6
     1 ,         80 ,46876.8
     1 ,         81 ,47902.8
     1 ,         82 ,48817.2
     1 ,         83 ,48392.4
     1 ,         84 ,47943.6
     1 ,         85 ,50650.8
     1 ,         86 ,52406.4
     1 ,         87 ,51571.2
     1 ,         88 ,49476.0
     1 ,         89 ,46814.4
     1 ,         90 ,45690.0
     1 ,         91 ,45141.6
     1 ,         92 ,46876.8
     1 ,         93 ,47902.8
     1 ,         94 ,48817.2
     1 ,         95 ,48392.4
     1 ,         96 ,47943.6
     1 ,         97 ,50650.8
     1 ,         98 ,52406.4
     1 ,         99 ,51571.2
     1 ,        100 ,49476.0
     1 ,        101 ,46814.4
     1 ,        102 ,45690.0
     1 ,        103 ,45141.6
     1 ,        104 ,46876.8
     1 ,        105 ,47902.8
     1 ,        106 ,48817.2
     1 ,        107 ,48392.4
     1 ,        108 ,47943.6
     1 ,        109 ,50650.8
     1 ,        110 ,52406.4
     1 ,        111 ,51571.2
     1 ,        112 ,49476.0
     1 ,        113 ,46814.4
     1 ,        114 ,45690.0
     1 ,        115 ,45141.6
     1 ,        116 ,46876.8
     1 ,        117 ,47902.8
     1 ,        118 ,48817.2
     1 ,        119 ,48392.4
     1 ,        120 ,47943.6
     2 ,          1 ,15074.4
     2 ,          2 ,15417.6
     2 ,          3 ,14821.2
     2 ,          4 ,14258.4
     2 ,          5 ,13804.8
     2 ,          6 ,13518.0
     2 ,          7 ,13341.6
     2 ,          8 ,13212.0
     2 ,          9 ,13060.8
     2 ,         10 ,13512.0
     2 ,         11 ,14010.0
     2 ,         12 ,13926.0
     2 ,         13 ,15074.4
     2 ,         14 ,15417.6
     2 ,         15 ,14821.2
     2 ,         16 ,14258.4
     2 ,         17 ,13804.8
     2 ,         18 ,13518.0
     2 ,         19 ,13341.6
     2 ,         20 ,13212.0
     2 ,         21 ,13060.8
     2 ,         22 ,13512.0
     2 ,         23 ,14010.0
     2 ,         24 ,13926.0
     2 ,         25 ,15074.4
     2 ,         26 ,15417.6
     2 ,         27 ,14821.2
     2 ,         28 ,14258.4
     2 ,         29 ,13804.8
     2 ,         30 ,13518.0
     2 ,         31 ,13341.6
     2 ,         32 ,13212.0
     2 ,         33 ,13060.8
     2 ,         34 ,13512.0
     2 ,         35 ,14010.0
     2 ,         36 ,13926.0
     2 ,         37 ,15074.4
     2 ,         38 ,15417.6
     2 ,         39 ,14821.2
     2 ,         40 ,14258.4
     2 ,         41 ,13804.8
     2 ,         42 ,13518.0
     2 ,         43 ,13341.6
     2 ,         44 ,13212.0
     2 ,         45 ,13060.8
     2 ,         46 ,13512.0
     2 ,         47 ,14010.0
     2 ,         48 ,13926.0
     2 ,         49 ,15074.4
     2 ,         50 ,15417.6
     2 ,         51 ,14821.2
     2 ,         52 ,14258.4
     2 ,         53 ,13804.8
     2 ,         54 ,13518.0
     2 ,         55 ,13341.6
     2 ,         56 ,13212.0
     2 ,         57 ,13060.8
     2 ,         58 ,13512.0
     2 ,         59 ,14010.0
     2 ,         60 ,13926.0
     2 ,         61 ,15074.4
     2 ,         62 ,15417.6
     2 ,         63 ,14821.2
     2 ,         64 ,14258.4
     2 ,         65 ,13804.8
     2 ,         66 ,13518.0
     2 ,         67 ,13341.6
     2 ,         68 ,13212.0
     2 ,         69 ,13060.8
     2 ,         70 ,13512.0
     2 ,         71 ,14010.0
     2 ,         72 ,13926.0
     2 ,         73 ,15074.4
     2 ,         74 ,15417.6
     2 ,         75 ,14821.2
     2 ,         76 ,14258.4
     2 ,         77 ,13804.8
     2 ,         78 ,13518.0
     2 ,         79 ,13341.6
     2 ,         80 ,13212.0
     2 ,         81 ,13060.8
     2 ,         82 ,13512.0
     2 ,         83 ,14010.0
     2 ,         84 ,13926.0
     2 ,         85 ,15074.4
     2 ,         86 ,15417.6
     2 ,         87 ,14821.2
     2 ,         88 ,14258.4
     2 ,         89 ,13804.8
     2 ,         90 ,13518.0
     2 ,         91 ,13341.6
     2 ,         92 ,13212.0
     2 ,         93 ,13060.8
     2 ,         94 ,13512.0
     2 ,         95 ,14010.0
     2 ,         96 ,13926.0
     2 ,         97 ,15074.4
     2 ,         98 ,15417.6
     2 ,         99 ,14821.2
